season,team,elo_final
2007,Nets,1535.0
2007,Nuggets,1583.5
2007,Pacers,1395.1
2007,Pistons,1660.4
2007,Raptors,1542.9
2007,Rockets,1595.6
2007,Spurs,1750.6
2007,Suns,1702.6
2007,SuperSonics,1414.8
2007,Timberwolves,1359.7
2007,Trail Blazers,1372.5
2007,Warriors,1584.4
2007,Wizards,1433.8
2008,76ers,1503.6
2008,Bobcats,1412.6
2008,Bucks,1271.0
2008,Bulls,1429.2
2008,Cavaliers,1553.2
2008,Celtics,1745.9
2008,Clippers,1313.6
2008,Grizzlies,1314.1
2008,Hawks,1462.4
2008,Heat,1239.1
2008,Hornets,1660.9
2008,Jazz,1689.8
2008,Kings,1459.4
2008,Knicks,1281.9
2008,Lakers,1719.3
2008,Magic,1637.2
2008,Mavericks,1592.1
2008,Nets,1401.5
2008,Nuggets,1595.8
2008,Pacers,1456.7
2008,Pistons,1675.1
2008,Raptors,1489.1
2008,Rockets,1645.1
2008,Spurs,1681.5
2008,Suns,1649.7
2008,SuperSonics,1273.0
2008,Timberwolves,1326.3
2008,Trail Blazers,1462.1
2008,Warriors,1572.2
2008,Wizards,1486.4
2009,76ers,1481.2
2009,Bobcats,1446.8
2009,Bucks,1422.8
2009,Bulls,1523.1
2009,Cavaliers,1761.5
2009,Celtics,1687.2
2009,Clippers,1246.5
2009,Grizzlies,1348.7
2009,Hawks,1515.5
2009,Heat,1504.4
2009,Hornets,1499.0
2009,Jazz,1564.1
2009,Kings,1261.3
2009,Knicks,1384.0
2009,Lakers,1808.4
2009,Magic,1702.4
2009,Mavericks,1616.3
2009,Nets,1428.3
2009,Nuggets,1674.5
2009,Pacers,1487.0
2009,Pistons,1466.0
2009,Raptors,1424.2
2009,Rockets,1671.2
2009,Spurs,1605.5
2009,Suns,1548.8
2009,Thunder,1362.2
2009,Timberwolves,1327.6
2009,Trail Blazers,1641.9
2009,Warriors,1415.6
2009,Wizards,1287.3
2010,76ers,1368.8
2010,Bobcats,1530.8
2010,Bucks,1553.2
2010,Bulls,1482.5
2010,Cavaliers,1676.5
2010,Celtics,1671.2
2010,Clippers,1307.2
2010,Grizzlies,1446.3
2010,Hawks,1596.2
2010,Heat,1565.1
2010,Hornets,1419.2
2010,Jazz,1616.4
2010,Kings,1303.6
2010,Knicks,1369.7
2010,Lakers,1707.2
2010,Magic,1765.4
2010,Mavericks,1613.1
2010,Nets,1266.8
2010,Nuggets,1610.4
2010,Pacers,1466.2
2010,Pistons,1329.9
2010,Raptors,1430.9
2010,Rockets,1508.2
2010,Spurs,1633.6
2010,Suns,1692.0
2010,Thunder,1596.2
2010,Timberwolves,1227.7
2010,Trail Blazers,1572.3
2010,Warriors,1399.1
2010,Wizards,1331.1
2011,76ers,1518.2
2011,Bobcats,1392.8
2011,Bucks,1467.6
2011,Bulls,1698.5
2011,Cavaliers,1302.8
2011,Celtics,1649.4
2011,Clippers,1411.5
2011,Grizzlies,1611.0
2011,Hawks,1472.1
2011,Heat,1719.8
2011,Hornets,1501.4
2011,Jazz,1435.1
2011,Kings,1384.8
2011,Knicks,1478.2
2011,Lakers,1641.6
2011,Magic,1641.7
2011,Mavericks,1741.8
2011,Nets,1282.3
2011,Nuggets,1621.7
2011,Pacers,1454.1
2011,Pistons,1384.5
2011,Raptors,1290.9
2011,Rockets,1569.8
2011,Spurs,1621.8
2011,Suns,1479.3
2011,Thunder,1664.2
2011,Timberwolves,1267.5
2011,Trail Blazers,1546.8
2011,Warriors,1469.0
2011,Wizards,1308.0
2012,76ers,1550.5
2012,Bobcats,1147.6
2012,Bucks,1491.5
2012,Bulls,1667.6
2012,Cavaliers,1284.5
2012,Celtics,1627.6
2012,Clippers,1572.3
2012,Grizzlies,1595.2
2012,Hawks,1561.2
2012,Heat,1728.8
2012,Hornets,1422.4
2012,Jazz,1532.8
2012,Kings,1369.8
2012,Knicks,1546.9
2012,Lakers,1568.7
2012,Magic,1473.9
2012,Mavericks,1526.6
2012,Nets,1306.2
2012,Nuggets,1597.4
2012,Pacers,1588.7
2012,Pistons,1397.9
2012,Raptors,1396.9
2012,Rockets,1494.0
2012,Spurs,1733.3
2012,Suns,1525.8
2012,Thunder,1721.4
2012,Timberwolves,1379.9
2012,Trail Blazers,1428.7
2012,Warriors,1387.2
2012,Wizards,1388.7
2013,76ers,1433.5
2013,Bobcats,1266.8
2013,Bucks,1415.3
2013,Bulls,1519.8
2013,Cavaliers,1307.3
2013,Celtics,1478.8
2013,Clippers,1622.3
2013,Grizzlies,1663.6
2013,Hawks,1484.8
2013,Heat,1770.1
2013,Hornets,1382.0
2013,Jazz,1524.6
2013,Kings,1396.5
2013,Knicks,1617.1
2013,Lakers,1509.1
2013,Magic,1237.9
2013,Mavericks,1527.4
2013,Nets,1558.0
2013,Nuggets,1663.7
2013,Pacers,1614.1
2013,Pistons,1358.4
2013,Raptors,1468.2
2013,Rockets,1579.9
2013,Spurs,1733.1
2013,Suns,1324.4
2013,Thunder,1710.2
2013,Timberwolves,1443.1
2013,Trail Blazers,1391.2
2013,Warriors,1577.3
2013,Wizards,1428.6
2014,76ers,1208.2
2014,Bobcats,1512.2
2014,Bucks,1242.3
2014,Bulls,1564.3
2014,Cavaliers,1421.6
2014,Celtics,1327.7
2014,Clippers,1689.3
2014,Grizzlies,1597.2
2014,Hawks,1469.0
2014,Heat,1632.2
2014,Jazz,1312.6
2014,Kings,1406.4
2014,Knicks,1522.9
2014,Lakers,1363.1
2014,Magic,1290.6
2014,Mavericks,1610.4
2014,Nets,1527.4
2014,Nuggets,1451.0
2014,Pacers,1552.2
2014,Pelicans,1440.2
2014,Pistons,1342.7
2014,Raptors,1578.8
2014,Rockets,1642.9
2014,Spurs,1790.4
2014,Suns,1582.5
2014,Thunder,1677.7
2014,Timberwolves,1525.0
2014,Trail Blazers,1601.6
2014,Warriors,1627.1
2014,Wizards,1553.0
2015,76ers,1248.8
2015,Bucks,1442.6
2015,Bulls,1598.3
2015,Cavaliers,1700.4
2015,Celtics,1509.7
2015,Clippers,1693.2
2015,Grizzlies,1615.7
2015,Hawks,1605.5
2015,Heat,1447.5
2015,Hornets,1387.5
2015,Jazz,1545.8
2015,Kings,1401.3
2015,Knicks,1226.2
2015,Lakers,1265.6
2015,Magic,1292.4
2015,Mavericks,1557.2
2015,Nets,1446.5
2015,Nuggets,1404.8
2015,Pacers,1500.8
2015,Pelicans,1527.5
2015,Pistons,1451.9
2015,Raptors,1506.9
2015,Rockets,1652.9
2015,Spurs,1718.4
2015,Suns,1470.8
2015,Thunder,1575.8
2015,Timberwolves,1251.9
2015,Trail Blazers,1567.2
2015,Warriors,1842.2
2015,Wizards,1540.3
2016,76ers,1189.3
2016,Bucks,1383.4
2016,Bulls,1442.2
2016,Cavaliers,1769.7
2016,Celtics,1556.4
2016,Clippers,1616.7
2016,Grizzlies,1442.4
2016,Hawks,1600.5
2016,Heat,1599.2
2016,Hornets,1559.7
2016,Jazz,1537.4
2016,Kings,1415.1
2016,Knicks,1379.4
2016,Lakers,1241.1
2016,Magic,1433.7
2016,Mavericks,1487.9
2016,Nets,1269.6
2016,Nuggets,1413.5
2016,Pacers,1545.3
2016,Pelicans,1372.6
2016,Pistons,1491.5
2016,Raptors,1604.1
2016,Rockets,1528.2
2016,Spurs,1764.6
2016,Suns,1325.1
2016,Thunder,1753.0
2016,Timberwolves,1369.1
2016,Trail Blazers,1603.2
2016,Warriors,1785.6
2016,Wizards,1518.7
2017,76ers,1313.6
2017,Bucks,1501.3
2017,Bulls,1481.9
2017,Cavaliers,1695.8
2017,Celtics,1549.4
2017,Clippers,1625.8
2017,Grizzlies,1499.1
2017,Hawks,1473.6
2017,Heat,1568.2
2017,Hornets,1454.0
2017,Jazz,1606.7
2017,Kings,1381.0
2017,Knicks,1369.0
2017,Lakers,1321.1
2017,Magic,1332.7
2017,Mavericks,1403.3
2017,Nets,1331.1
2017,Nuggets,1552.7
2017,Pacers,1498.9
2017,Pelicans,1462.2
2017,Pistons,1433.5
2017,Raptors,1551.9
2017,Rockets,1619.3
2017,Spurs,1687.1
2017,Suns,1317.4
2017,Thunder,1530.5
2017,Timberwolves,1462.9
2017,Trail Blazers,1530.2
2017,Warriors,1857.4
2017,Wizards,1587.2
2018,76ers,1643.6
2018,Bucks,1513.6
2018,Bulls,1317.7
2018,Cavaliers,1576.1
2018,Celtics,1586.8
2018,Clippers,1492.9
2018,Grizzlies,1301.9
2018,Hawks,1318.7
2018,Heat,1490.7
2018,Hornets,1489.1
2018,Jazz,1667.2
2018,Kings,1317.6
2018,Knicks,1356.5
2018,Lakers,1455.3
2018,Magic,1320.3
2018,Mavericks,1358.7
2018,Nets,1385.3
2018,Nuggets,1597.3
2018,Pacers,1575.0
2018,Pelicans,1570.9
2018,Pistons,1479.3
2018,Raptors,1638.1
2018,Rockets,1734.3
2018,Spurs,1561.1
2018,Suns,1254.5
2018,Thunder,1605.7
2018,Timberwolves,1562.9
2018,Trail Blazers,1573.4
2018,Warriors,1746.1
2018,Wizards,1508.8
2019,76ers,1612.6
2019,Bucks,1721.8
2019,Bulls,1276.9
2019,Cavaliers,1266.6
2019,Celtics,1604.7
2019,Clippers,1523.3
2019,Grizzlies,1416.0
2019,Hawks,1366.5
2019,Heat,1492.7
2019,Hornets,1480.8
2019,Jazz,1628.4
2019,Kings,1442.1
2019,Knicks,1240.1
2019,Lakers,1458.3
2019,Magic,1536.8
2019,Mavericks,1419.4
2019,Nets,1484.5
2019,Nuggets,1618.9
2019,Pacers,1518.5
2019,Pelicans,1381.1
2019,Pistons,1465.5
2019,Raptors,1744.5
2019,Rockets,1707.8
2019,Spurs,1574.7
2019,Suns,1246.0
2019,Thunder,1575.7
2019,Timberwolves,1445.2
2019,Trail Blazers,1640.2
2019,Warriors,1703.1
2019,Wizards,1406.9
2020,76ers,1554.7
2020,Bucks,1657.2
2020,Bulls,1340.1
2020,Cavaliers,1288.0
2020,Celtics,1702.7
2020,Clippers,1649.1
2020,Grizzlies,1518.7
2020,Hawks,1313.3
2020,Heat,1642.8
2020,Hornets,1366.2
2020,Jazz,1549.9
2020,Kings,1488.1
2020,Knicks,1325.8
2020,Lakers,1693.9
2020,Magic,1475.4
2020,Mavericks,1555.6
2020,Nets,1447.4
2020,Nuggets,1574.2
2020,Pacers,1541.7
2020,Pelicans,1545.8
2020,Pistons,1335.6
2020,Raptors,1686.5
2020,Rockets,1582.0
2020,Spurs,1509.1
2020,Suns,1557.7
2020,Thunder,1583.4
2020,Timberwolves,1346.9
2020,Trail Blazers,1486.9
2020,Warriors,1324.6
2020,Wizards,1356.2
2021,76ers,1651.7
2021,Bucks,1708.9
2021,Bulls,1483.6
2021,Cavaliers,1285.2
2021,Celtics,1499.0
2021,Clippers,1683.8
2021,Grizzlies,1551.5
2021,Hawks,1581.8
2021,Heat,1509.1
2021,Hornets,1410.7
2021,Jazz,1675.5
2021,Kings,1416.7
2021,Knicks,1555.4
2021,Lakers,1576.3
2021,Magic,1254.0
2021,Mavericks,1568.1
2021,Nets,1644.1
2021,Nuggets,1606.7
2021,Pacers,1470.4
2021,Pelicans,1476.8
2021,Pistons,1324.3
2021,Raptors,1433.7
2021,Rockets,1280.2
2021,Spurs,1450.7
2021,Suns,1710.5
2021,Thunder,1228.3
2021,Timberwolves,1380.7
2021,Trail Blazers,1589.0
2021,Warriors,1523.7
2021,Wizards,1469.1
2022,76ers,1616.6
2022,Bucks,1615.0
2022,Bulls,1434.3
2022,Cavaliers,1489.6
2022,Celtics,1732.8
2022,Clippers,1503.4
2022,Grizzlies,1652.6
2022,Hawks,1545.1
2022,Heat,1663.1
2022,Hornets,1522.5
2022,Jazz,1578.3
2022,Kings,1362.2
2022,Knicks,1507.8
2022,Lakers,1397.1
2022,Magic,1278.4
2022,Mavericks,1650.1
2022,Nets,1532.2
2022,Nuggets,1544.3
2022,Pacers,1351.1
2022,Pelicans,1531.4
2022,Pistons,1323.0
2022,Raptors,1576.2
2022,Rockets,1273.0
2022,Spurs,1467.8
2022,Suns,1661.8
2022,Thunder,1276.6
2022,Timberwolves,1561.9
2022,Trail Blazers,1238.8
2022,Warriors,1726.0
2022,Wizards,1386.4
2023,76ers,1654.2
2023,Bucks,1576.0
2023,Bulls,1534.4
2023,Cavaliers,1581.2
2023,Celtics,1691.6
2023,Clippers,1514.9
2023,Grizzlies,1571.7
2023,Hawks,1523.3
2023,Heat,1600.9
2023,Hornets,1344.6
2023,Jazz,1413.3
2023,Kings,1545.9
2023,Knicks,1605.2
2023,Lakers,1585.0
2023,Magic,1426.2
2023,Mavericks,1458.7
2023,Nets,1493.9
2023,Nuggets,1697.1
2023,Pacers,1381.9
2023,Pelicans,1521.4
2023,Pistons,1240.4
2023,Raptors,1552.6
2023,Rockets,1306.0
2023,Spurs,1277.9
2023,Suns,1558.9
2023,Thunder,1507.1
2023,Timberwolves,1521.5
2023,Trail Blazers,1301.2
2023,Warriors,1587.3
2023,Wizards,1425.3
2024,76ers,1538.2
2024,Bucks,1536.0
2024,Bulls,1459.1
2024,Cavaliers,1533.2
2024,Celtics,1786.2
2024,Clippers,1522.7
2024,Grizzlies,1303.9
2024,Hawks,1431.8
2024,Heat,1545.5
2024,Hornets,1277.2
2024,Jazz,1361.8
2024,Kings,1557.2
2024,Knicks,1588.9
2024,Lakers,1564.8
2024,Magic,1534.7
2024,Mavericks,1690.7
2024,Nets,1405.7
2024,Nuggets,1662.2
2024,Pacers,1614.9
2024,Pelicans,1565.3
2024,Pistons,1245.4
2024,Raptors,1294.8
2024,Rockets,1511.6
2024,Spurs,1362.0
2024,Suns,1601.9
2024,Thunder,1684.7
2024,Timberwolves,1686.2
2024,Trail Blazers,1278.7
2024,Warriors,1611.5
2024,Wizards,1243.4
2025,76ers,1284.2
2025,Bucks,1560.6
2025,Bulls,1494.6
2025,Cavaliers,1724.9
2025,Celtics,1712.6
2025,Clippers,1641.5
2025,Grizzlies,1538.3
2025,Hawks,1449.1
2025,Heat,1487.9
2025,Hornets,1217.4
2025,Jazz,1255.9
2025,Kings,1471.7
2025,Knicks,1617.2
2025,Lakers,1558.9
2025,Magic,1499.1
2025,Mavericks,1446.6
2025,Nets,1268.2
2025,Nuggets,1625.9
2025,Pacers,1677.2
2025,Pelicans,1290.0
2025,Pistons,1548.6
2025,Raptors,1383.4
2025,Rockets,1596.6
2025,Spurs,1415.8
2025,Suns,1428.2
2025,Thunder,1793.3
2025,Timberwolves,1703.9
2025,Trail Blazers,1488.3
2025,Warriors,1614.9
2025,Wizards,1205.3
2026,76ers,1484.6
2026,Bucks,1462.4
2026,Bulls,1397.2
2026,Cavaliers,1641.2
2026,Celtics,1660.3
2026,Clippers,1551.6
2026,Grizzlies,1420.1
2026,Hawks,1470.7
2026,Heat,1510.6
2026,Hornets,1572.2
2026,Jazz,1310.3
2026,Jerusalem B.C.,1476.6
2026,Kings,1281.0
2026,Knicks,1638.6
2026,Lakers,1511.1
2026,Loong-Lions,1453.9
2026,Magic,1487.7
2026,Mavericks,1411.6
2026,Nets,1330.9
2026,Nuggets,1582.1
2026,Pacers,1365.8
2026,Pelicans,1362.6
2026,Phoenix,1477.6
2026,Pistons,1673.2
2026,Raptors,1509.2
2026,Rockets,1615.6
2026,Spurs,1678.0
2026,Stars,1525.5
2026,Stripes,1481.9
2026,Suns,1554.6
2026,Team Austin,1494.4
2026,Team Melo,1500.5
2026,Team T-Mac,1491.0
2026,Team Vince,1514.1
2026,Thunder,1724.9
2026,Timberwolves,1603.8
2026,Trail Blazers,1484.8
2026,United,1490.3
2026,Warriors,1535.6
2026,Wizards,1269.8
2026,World,1492.6
